slug,aliases,name,primaryMuscles,secondaryMuscles,equipment,movementPattern,difficulty,durationSeconds,tags,benefits,useCases,instructions,commonMistakes,shortDescription,longDescription,posterFile,videoFile
single-arm-landmine-press,,Single-Arm Landmine Press,Shoulders,Core; Trapezius; Triceps,Barbell,Push,intermediate,6.93,single arm landmine press; landmine; barbell; shoulders; unilateral; push,"Presses one shoulder at a time, so left-right differences show up and can be trained out.; The arc keeps the arm in front of the body, which suits lifters short on overhead range.; Resisting rotation toward the loaded side keeps the obliques working every rep.",Unilateral pressing slot in athletic upper body templates.; Press substitution for users reporting restricted overhead range.; Technique media on staggered stance and keeping the ribs down.; Anti rotation content pairing a press with a trunk demand.,"1. Anchor one end of a barbell in a landmine sleeve or a padded corner and load the free end. ; 2. Stand facing the bar with a staggered stance and a neutral spine. ; 3. Rest the loaded end on one shoulder and cup it with the hand on that side. ; 4. Place your free hand on your ribcage so you can feel if your back starts to arch. ; 5. Press the bar up and forward by extending the elbow and flexing the shoulder until the arm is straight. ; 6. Lower the bar back to your shoulder under control, finish the set, then switch sides.","Arching the lower back to finish the press, which trades shoulder range for spinal extension.; Standing square with the feet level, which makes it harder to stop the trunk rotating toward the load.; Pushing the head forward as the bar rises, which shortens the neck and loads the traps.; Fighting the bar straight up instead of along its arc, which stalls the rep against the anchor.","A one-arm press of a landmine-anchored barbell from the shoulder, following the bar's arc up and across the body.","With one end of a barbell pinned in a landmine sleeve, the loaded end travels through an arc rather than straight up. You rest that end on one shoulder, take a staggered stance, and press until the arm is straight while the free hand sits on your ribcage so you can feel your back start to arch. This is a compound unilateral push at an intermediate skill level: the shoulders do the work with the abs, traps and triceps assisting, and the obliques and glutes join in because the trunk has to stop the load twisting you.

For a library this is the unilateral, shoulder-friendly press: the arc keeps the arm in front of the body, so it doubles as a substitution when a strict overhead press is off the table. It fits barbell filters, athletic templates and technique content.",posters/single-arm-landmine-press.webp,single-arm-landmine-press.mp4
single-arm-lat-pulldown,,Single-Arm Lat Pulldown,Back,Biceps; Shoulders; Trapezius; Core,Cable Machine,Pull,beginner,7.73,single arm lat pulldown; cable pulldown; lats; back; unilateral; vertical pull,Trains each side separately so strength differences surface instead of being masked.; Allows more scapular travel at the top than a fixed bar.; Loads a vertical pull in small increments for users without pull-up strength.,Imbalance correction blocks in an app's back training plan.; A scalable vertical pull for beginner program tracks.; Cable machine library entries in an exercise browser.; Comparison content set against the two-arm pulldown clip.,"1. Set a single handle on a high pulley and choose a load you can control through the full range. ; 2. Kneel or sit facing the stack with the working shoulder lined up under the cable. ; 3. Reach up and let the shoulder blade rise, keeping your ribs down and your abs braced. ; 4. Depress the shoulder blade first, then drive the elbow down and back toward your hip. ; 5. Pause where the lat is fully shortened and hold the torso square to the stack. ; 6. Return slowly to a full overhead stretch, finish the reps, then switch sides.","Leaning away from the stack to finish the rep, which turns the pull into a body swing and unloads the lat.; Starting with the arm rather than the shoulder blade, which hands the work to the biceps.; Cutting the return short, so the lat never reaches the stretched position that the single handle allows.; Twisting the trunk toward the cable, which hides the side-to-side difference this variation exists to expose.",One-arm cable pulldown that loads a single lat and lets the shoulder blade travel through its full range.,"The single-arm lat pulldown swaps the fixed bar for one handle on a high pulley, so each side works on its own and the shoulder blade is free to rise, depress and rotate without the other arm covering for it. The latissimus dorsi is the prime mover, with the biceps, posterior deltoid, trapezius and rhomboids assisting and the trunk resisting the pull toward the stack. EMG work across seven pulldown grips found the lats stay the primary target whatever the handle, so the case for the unilateral version is side-to-side control and range, not a different muscle.

For a catalog this clip covers the corrective and accessible end of vertical pulling. It suits imbalance work, gives apps a scalable pull for users who cannot yet do pull-ups, and pairs naturally with a two-arm pulldown clip in comparison content.",posters/single-arm-lat-pulldown.webp,single-arm-lat-pulldown.mp4
single-arm-overhead-cable-extension,,Single-Arm Overhead Cable Extension,Triceps,,Cable Machine,Isolation; Push,beginner,8,single arm overhead cable extension; triceps; cable; overhead extension; unilateral; arms,"Cable tension stays on the triceps through the whole range, including lockout.; The overhead position loads the long head of the triceps under stretch.; Training one arm at a time makes side-to-side differences visible.",Arm accessory blocks in a gym training app.; Elbow friendly triceps option when skull crushers aggravate the joint.; Unilateral triceps work in asymmetry correction programs.; Technique content on constant-tension cable training.,"1. Attach a single handle to the low pulley of a cable stack and select your weight. ; 2. Take the handle in one hand and turn to face away from the machine. ; 3. Raise the working arm overhead so the upper arm sits beside your head. ; 4. Bend the elbow to let the handle travel down behind your head under control. ; 5. Extend the elbow to press the handle back overhead, stopping short of a hard lockout. ; 6. Complete the set, then swap hands and repeat on the other side.","Letting the upper arm swing forward and back, which turns the lift into a shoulder movement.; Snapping into lockout, which unloads the triceps and irritates the elbow.; Standing too close to the stack, so the cable angle pulls the arm out of position.; Leaning far forward to shift the weight, which recruits the torso rather than the arm.","A standing single-arm cable extension with the handle held overhead, straightening the elbow against constant tension.","The single-arm overhead cable extension loads elbow extension from a low pulley. You stand with your back to the stack, take a single handle, raise the working arm overhead so the upper arm sits beside your head, then bend and straighten the elbow while the cable pulls down and behind you. Unlike a dumbbell, the cable keeps tension on the triceps at every joint angle, including lockout, which is why the guide warns against locking out hard.

MoveKit's muscle vocabulary collapses long-head bias into a single Triceps value, so the overhead emphasis is described here rather than in the facet. For a catalog the clip covers cable arm work buyers search for by name, and it fits arm accessory blocks, cable machine equipment filters, unilateral programming, and content on constant-tension training.",posters/single-arm-overhead-cable-extension.webp,single-arm-overhead-cable-extension.mp4
single-arm-tricep-extension,,Single-Arm Tricep Extension,Triceps,,Dumbbell,Isolation; Push,beginner,9.87,single arm tricep extension; triceps; dumbbell; overhead extension; unilateral; arms,"Works one arm at a time so side-to-side differences show up clearly.; The overhead position loads the long head of the triceps under stretch.; Needs only a bench and a single dumbbell, so it fits minimal setups.",Overhead triceps accessory slot in a hypertrophy app.; Single-dumbbell arm work for bench-only home setups.; Unilateral correction work in asymmetry programs.; Content comparing overhead and pushdown triceps training.,"1. Sit upright on a flat bench with your feet flat and about hip-width apart. ; 2. Press one dumbbell overhead until the arm is straight and beside your ear. ; 3. Point the working elbow at the ceiling and rest your free hand on your thigh. ; 4. Bend the working elbow to lower the dumbbell behind your head. ; 5. Press the dumbbell back overhead without letting the upper arm drift. ; 6. Finish the set, then move the weight to the other arm and repeat.","Letting the elbow flare out to the side, which shortens the stretch on the long head.; Leaning the torso away from the working arm, which hides how much the shoulder is helping.; Choosing a weight that drags the arm out of position behind the head, which strains the elbow.; Cutting the descent short, which skips the stretched range the overhead position exists for.","A seated single-arm overhead extension, lowering one dumbbell behind the head and pressing it back to lockout.","The single-arm tricep extension is overhead elbow extension done one side at a time. You sit upright on a flat bench, press a dumbbell to lockout with the working arm beside your ear, then bend at the elbow to lower the weight behind your head and press it straight back up. Holding the upper arm vertical puts the long head of the triceps on stretch, which is the whole reason to work overhead. Keeping the upper arm perpendicular to the floor is what preserves that stretch across the whole rep.

MoveKit's muscle vocabulary has no separate long-head value, so the emphasis lives here in the copy. For a library the clip covers unilateral triceps work with the simplest possible kit: one bench, one dumbbell. It suits arm accessory blocks, dumbbell-only home programs, and asymmetry correction work.",posters/single-arm-tricep-extension.webp,single-arm-tricep-extension.mp4
single-leg-back-extension,,B-stance Back Extension,Lower Back,Glutes; Hamstrings,Bodyweight,Hinge,intermediate,5.87,back extension; b-stance; hip hinge; erector spinae; glutes; bodyweight,"Trains hip extension one side at a time so left and right differences surface and can be corrected.; Builds isometric endurance in the spinal erectors without loading the spine with an external bar.; Needs only a back extension bench, so it programs the same way in small gyms and large facilities.",Staggered stance variants shown next to the bilateral back extension clip on a comparison page.; Unilateral progression ladders between bilateral back extensions and single leg deadlifts.; Low back conditioning sequences in rehab adjacent content libraries.; Side view technique screens where limb position needs to be visible.,"1. Set the hip pad of a 45-degree back extension bench just below your pelvis. ; 2. Place one foot flat on the platform and stagger the other foot behind it so the front leg carries most of the load. ; 3. Cross your arms over your chest, brace your abdominals, and line up your head, spine and hips. ; 4. Hinge at the hips and lower your torso until you feel the hamstrings of the lead leg lengthen. ; 5. Drive the lead hip into the pad and extend until your body forms a straight line. ; 6. Pause at the top, lower with the same tempo, then repeat and switch the lead leg.","Rounding the lower back on the descent, which moves load off the hips and onto passive spinal structures.; Arching well past a straight line at the top, which compresses the lumbar spine and adds no useful range.; Letting the trailing foot take an equal share of the load, which removes the unilateral bias entirely.; Rushing the lowering phase, which cuts time under tension for the glutes and hamstrings.",A staggered-stance 45-degree back extension that loads one hip harder while the spinal erectors hold a neutral line.,"The B-stance back extension is a hip hinge performed on a 45-degree bench with one foot forward on the platform and the other offset behind it, so the lead hip takes most of the load. The hip pad sits just below the pelvis, which lets the hips flex and extend freely while the spinal erectors work isometrically to keep the spine in one line with the head and legs. Glutes and hamstrings drive the torso back up, and the staggered stance makes side to side differences in hip extension strength obvious.

As an asset this clip earns its place wherever a unilateral posterior chain option is needed without a barbell. The side camera angle reads clearly at small sizes, which suits exercise library thumbnails, single leg progression ladders in a mobile app, and low back conditioning modules in coaching platforms.",posters/single-leg-back-extension.webp,single-leg-back-extension.mp4
single-leg-dumbbell-romanian-deadlift,,Single-Leg Dumbbell Romanian Deadlift,Hamstrings; Glutes,Core; Calves,Dumbbell,Hinge,advanced,9.87,single leg romanian deadlift; dumbbell; hamstrings; glutes; hip hinge; unilateral,"Loads one hamstring and glute at a time, exposing side to side differences.; Trains hip and trunk stability alongside the hinge itself.; Needs only one dumbbell, so it works in minimal equipment settings.",Unilateral hinge entry in a dumbbell equipment filter.; Single-leg slot in athletic development templates.; Left-right hinge comparison work in coaching platform programming.; Progression endpoint in hip hinge teaching content.,"1. Hold a dumbbell and stand with your weight on one leg. ; 2. Soften the standing knee and set your shoulders back. ; 3. Push the standing hip back and let the free leg extend behind you. ; 4. Lower the dumbbell along the standing leg to about mid-shin. ; 5. Keep the hips level and the spine long throughout the descent. ; 6. Drive the standing hip forward to stand, then switch sides.","Letting the free hip rotate open, which turns the hinge into a twist.; Rounding the back to reach the floor, which loads the spine instead of the hamstring.; Bending the standing knee as you descend, which converts the hinge into a squat.; Going too heavy too soon, so balance fails before the hamstring is trained.","A single-leg hip hinge with a dumbbell, loading one hamstring and glute while the free leg extends behind.","The single-leg Romanian deadlift stands on one leg with a soft knee and hinges at the hip while the free leg extends straight back as a counterweight. The dumbbell tracks down the standing leg to about mid-shin, then the hip drives forward to stand. All of the hinge is taken by one hamstring and glute, and the lateral hip and trunk work constantly to stop the pelvis rotating open. It grades as an advanced hinge, with the kickstand version serving as the intermediate step toward it, because balance rather than strength is usually the limiting factor.

As an asset it is one of the clearest demonstrations of unilateral hinging, and it is hard to shoot well in photography because pelvis position is the whole point. It fits dumbbell filters, single-leg blocks and imbalance correction programming.",posters/single-leg-dumbbell-romanian-deadlift.webp,single-leg-dumbbell-romanian-deadlift.mp4
single-leg-glute-bridge,,Single Leg Glute Bridge,Glutes,Hamstrings; Core,Bodyweight,Hinge,beginner,4.27,glute bridge; single leg; glutes; bodyweight; hip extension; unilateral,"Trains hip extension one side at a time so left to right differences become visible.; Needs no equipment, so it fits home, travel, and clinic programming.; Loads the glutes with almost no spinal compression.",Glute activation blocks in an in-app warm up flow.; Unilateral corrective work in a rehab or prehab program.; No equipment lower body days in a bodyweight program template.; Exercise card thumbnails and short form glute content.,"1. Lie on your back with both knees bent and your feet flat on the floor about hip width apart. ; 2. Lift one leg clear of the floor and hold it there, keeping both hip bones level. ; 3. Brace your trunk and press the planted heel down into the floor. ; 4. Drive your hips upward until your shoulders, hips, and working knee form one line. ; 5. Pause at the top and squeeze the working glute without arching your lower back. ; 6. Lower under control until your hips touch the floor, then repeat before switching sides.","Letting the raised hip drop, which twists the pelvis and shifts load off the working glute.; Pushing through the toes instead of the heel, which pulls the hamstring in and often cramps it.; Hyperextending the lower back to fake height, which loads the lumbar spine instead of the hip.; Planting the foot too far from the hips, which turns the rep into a hamstring curl.",A floor-based unilateral hip extension that loads one glute at a time while the free leg stays off the ground.,"The single leg glute bridge starts lying on your back with one foot planted under the knee and the other leg held clear of the floor. Driving through the planted heel extends the hip until the torso and working thigh line up, so the gluteus maximus does the work while the hamstrings and trunk resist the pelvis dropping or twisting. EMG work on modified single leg bridges shows gluteal activation stays high across different knee angles while hamstring contribution swings sharply, which is why heel placement is cued so precisely.

In an asset library this clip is the reference visual for glute activation blocks, warm up flows, and early stage lower body rehab. It reads clearly at small sizes in mobile exercise cards, and the muscle highlight variant shows the target group without needing a caption.",posters/single-leg-glute-bridge.webp,single-leg-glute-bridge.mp4
single-leg-hip-thrust,,Single-Leg Hip Thrust,Glutes,Hamstrings; Quadriceps; Core,Bodyweight,Hinge,intermediate,6.04,hip thrust; single leg; glutes; bench; hip extension; unilateral,"Builds hip extension strength that carries into sprinting, jumping, and stair climbing.; Exposes and corrects side to side glute strength differences.; Allows a longer glute range of motion than a floor bridge.",Glute hypertrophy blocks in a strength training app.; Unilateral progressions after a two leg hip thrust in a program builder.; Athletic performance programs targeting hip extension power.; Exercise demo cards where the bench setup must be shown clearly.,"1. Sit on the floor with your upper back resting against the edge of a bench. ; 2. Plant one foot flat with the shin close to vertical and the knee bent about ninety degrees. ; 3. Raise the other leg and hold the hip and knee at roughly ninety degrees. ; 4. Brace your trunk and tuck your chin so the neck stays neutral. ; 5. Drive through the planted foot until your hips reach the height of your torso. ; 6. Lower under control until the hips are just above the floor, then repeat and switch sides.","Hyperextending the lower back or neck at lockout, which hides a shortfall in glute range.; Pushing with the elbows against the bench, which takes work away from the glutes.; Stopping short of full hip extension, so the glute never reaches a hard contraction.; Letting the pelvis rotate toward the free leg, which unloads the working side.",A bench-supported unilateral hip extension that drives one glute through a longer range than a floor bridge.,"The single leg hip thrust sets your upper back on a bench so the hips can travel below the level of the shoulders before extending. One foot stays planted with the shin close to vertical while the other leg is held with the hip and knee near ninety degrees. The gluteus maximus, medius, and minimus drive the lift, with the spinal erectors, hamstrings, quadriceps, and adductors supporting the position rather than leading it.

For a product catalog this clip covers the loaded end of glute programming: hypertrophy blocks, unilateral strength progressions, and posterior chain sections of a training app. The bench-supported setup is visually distinct from a floor bridge, which matters when a library needs both patterns to be told apart at a glance.",posters/single-leg-hip-thrust.webp,single-leg-hip-thrust.mp4
single-leg-kettlebell-romanian-deadlift-deficit,,Single-Leg Dumbbell Romanian Deadlift (Deficit),Hamstrings; Glutes,Core; Calves,Dumbbell,Hinge,advanced,8.8,deficit romanian deadlift; single leg; dumbbell; hamstrings; glutes; hip hinge,Adds hamstring range at the bottom without adding external load.; Trains the hamstring at long muscle length on one leg at a time.; Gives a progression step for users who have outgrown the flat version.,Dumbbell filter entry for single-leg hinge work off a low riser.; Advanced posterior chain slot in lower body templates.; Progression content showing range as an alternative to load.; Single-leg hinge programming for athletic development.,"1. Set a stable platform one to three inches high and stand on it with one foot. ; 2. Hold a dumbbell and shift your weight onto the standing leg. ; 3. Soften the standing knee and set your shoulders back. ; 4. Push the hip back and let the free leg extend behind you. ; 5. Lower the dumbbell past the level of the platform, keeping the hips level. ; 6. Drive the hip forward to stand, then finish the set and switch sides.","Using a platform so tall that the back rounds before the hamstring reaches its limit.; Letting the free hip rotate open, which turns the hinge into a rotation.; Standing on an unstable riser, which makes balance rather than the hamstring the limit.; Keeping the same load as the flat version, which is heavier through the added range.","A single-leg Romanian deadlift from a raised platform, adding range at the bottom of the hinge under load.","The deficit version stands the working foot on a low platform so the dumbbell can travel below the level of the foot. Everything else matches the standard single-leg RDL: soft standing knee, free leg extending behind, hips level, spine long, dumbbell tracking down the standing leg. The extra couple of inches load the hamstring at a longer muscle length, which is where hinge variations do most of their work. The turnaround belongs at the point where hamstring length stops the descent, and a deficit simply moves that point lower.

The clip is the range extension asset for a hinge progression: same movement, one visible change. It fits dumbbell equipment filters, advanced posterior chain blocks, and progression content showing range rather than load as the next step.",posters/single-leg-kettlebell-romanian-deadlift-deficit.webp,single-leg-kettlebell-romanian-deadlift-deficit.mp4
single-leg-press,,Single-Leg Press,Quadriceps,Glutes; Hamstrings; Calves; Core,Machine,Squat,beginner,9.87,leg press; single leg; quadriceps; machine; unilateral; lower body,"Loads the quadriceps heavily while the spine stays supported.; Isolates one leg so strength differences cannot be masked by the stronger side.; Offers a controlled path, which makes it easy to prescribe early in a program.",Machine-only program tracks in a gym training app.; Unilateral leg strength progressions after injury.; Quadriceps accessory blocks in a hypertrophy plan.; Machine collection pages needing a one-leg-at-a-time press.,"1. Set the seat so your working knee starts bent without your hips rolling off the pad. ; 2. Place one foot flat in the center of the sled and let the other leg rest clear of it. ; 3. Grip the handles, press your lower back into the pad, and release the safety catches. ; 4. Lower the sled under control until the working knee reaches roughly a right angle. ; 5. Drive the sled away by extending the knee and hip, stopping just short of lockout. ; 6. Complete the reps on that side, reset the safeties, and switch legs.","Locking the knee out forcefully at the top, which dumps tension into the joint.; Letting the hips roll off the pad at the bottom, which rounds the lower back under load.; Loading the sled too heavily, which is the main cause of knee and back complaints on this machine.; Letting the working knee drift inward instead of tracking over the foot.","A machine leg press driven by one leg at a time, loading the quadriceps with the torso fully supported.","The single leg press puts one foot in the center of the sled and presses it away by extending the knee and hip. Because the back and hips stay pinned to the pad, the quadriceps take the bulk of the load with the glutes, hamstrings, calves, and adductors assisting. Foot position steers the emphasis: pressing through the heel brings more glute in, pressing through the ball of the foot keeps the quadriceps dominant. Stopping just short of a hard lockout keeps tension on the muscle and keeps the knee joint out of an end-range jam.

This clip earns its place as the unilateral machine entry in a lower body library. It suits gym-based app plans, rehab progressions that need one side loaded at a time, and equipment filtered program builders where a machine option has to exist alongside barbell and bodyweight work.",posters/single-leg-press.webp,single-leg-press.mp4
single-leg-standing-calf-raise,,Single-Leg Standing Calf Raise,Calves,,Bodyweight,Isolation,beginner,8.8,calf raise; single leg; calves; bodyweight; plantar flexion; unilateral,Doubles the load on each calf compared with a two-legged raise.; Exposes ankle strength and balance differences between sides.; Trains the gastrocnemius at long muscle length with the knee straight.,Calf specialization blocks in a hypertrophy app.; Ankle and Achilles rehab progressions in a clinic program.; Balance and single leg sections of a bodyweight plan.; Lower body pack merchandising alongside machine calf variants.,"1. Stand with the ball of one foot on the edge of a step or block, heel hanging free. ; 2. Hook the free foot behind the standing ankle and rest a hand on a wall for balance. ; 3. Straighten the standing knee and hold it straight for the whole set. ; 4. Let the heel drop until you feel a firm stretch through the calf. ; 5. Press up through the ball of the foot until the ankle is fully extended. ; 6. Pause at the top, lower under control, and repeat before switching sides.","Bouncing out of the bottom, which uses the Achilles tendon rather than the calf muscle.; Bending the standing knee, which shortens the gastrocnemius and reduces its contribution.; Cutting the range short at the top or bottom, which is the usual reason calves stop responding.; Hanging on the support hand and taking real load off the standing leg.",A one-legged plantar flexion drill that loads the calf of the standing leg through its full ankle range.,"The single leg standing calf raise puts your whole bodyweight on one ankle. Standing on the ball of the foot with the heel free to drop, you press up as high as the ankle allows and lower until you feel a full stretch. Because the knee stays straight, the gastrocnemius is held long across the knee and takes the larger share of the work, while the soleus contributes throughout. Training research comparing knee-extended and knee-flexed calf work found far greater gastrocnemius growth from the standing pattern. MoveKit records both heads under the single Calves group, so knee angle rather than muscle naming separates this clip from a seated raise.

In a catalog this is the unilateral calf entry a lower body pack needs, covering balance work, ankle rehab, and calf specialization blocks.",posters/single-leg-standing-calf-raise.webp,single-leg-standing-calf-raise.mp4
single-leg-step-down,,Single-Leg Step-Down,Quadriceps; Glutes,Core; Hamstrings,Bodyweight,Squat,intermediate,9.87,step down; single leg; quads; glutes; knee stability; bodyweight,Builds eccentric quadriceps strength and knee control for landing and deceleration.; Trains the glutes to keep the pelvis level in single-leg stance.; Reveals left-to-right asymmetries that bilateral squats mask.,Knee rehab or prehab flow in a physio-adjacent app; Unilateral progression step before lunges and split squats; Movement screen in an onboarding assessment; Bodyweight library entry for box and step based lower body work,"1. Stand on a box or step about eight inches high with one foot along its edge. ; 2. Set the free foot just off the edge, level your hips and rest your hands at your waist. ; 3. Bend the standing knee slowly and lower the free foot toward the floor. ; 4. Tap the floor lightly with your heel or toe without shifting any weight onto it. ; 5. Drive back up through the standing leg until that knee is straight. ; 6. Complete your reps, then step off and repeat on the other leg.","Letting the standing knee cave inward, which is the exact fault the drill is meant to correct.; Hiking the hip on the free-leg side, which offloads the glutes and hides the control problem.; Dropping fast instead of lowering, which skips the eccentric work the exercise exists for.; Taking weight on the tapping foot, which turns it into a two-legged squat.","Single-leg lowering off a box, tapping the floor with the free foot before driving back up to the top.","The single-leg step-down is an eccentric knee-control drill. You stand on a box on one leg, lower the free foot toward the floor by bending the standing knee, tap lightly and drive back up without transferring weight. The stance quadriceps do the braking, the glutes keep the pelvis level, and the trunk holds its line. Clinicians score the same movement as a screen, marking down trunk lean, a pelvis that drops, a knee tracking inside the second toe, and any shift onto the other foot. Muscle-activity work on single-leg exercises puts the vasti highest, followed by the glutes.

As a licensed clip this is one of the most reusable lower-body assets you can hold. Rehab and prehab flows, unilateral progressions and knee-pain content all need it, and the slow tempo keeps the loop readable at thumbnail size.",posters/single-leg-step-down.webp,single-leg-step-down.mp4
single-legged-romanian-deadlifts,,Single Legged Romanian Deadlifts,Glutes; Hamstrings,Core,Bodyweight,Hinge,beginner,7.47,single leg romanian deadlift; hinge; glutes; hamstrings; single leg; bodyweight,Builds glute and hamstring strength while exposing side-to-side imbalances.; Trains the single-leg hinge pattern that carries over to running and jumping.; Improves balance and ankle stability under load.,Athletic-prep single-leg blocks in performance tracks; Glute-focused hypertrophy programming in fitness apps; Rehab-adjacent unilateral hinge content for return-to-training; Balance and stability education in coaching platforms,"1. Stand tall on one leg with a slight bend in the standing knee and arms hanging at your sides. ; 2. Brace your core and pull your shoulder blades down to set a tall, stable torso position. ; 3. Hinge at the hip by pushing the standing-leg hip back, letting the back leg float up behind you. ; 4. Keep the back leg, torso, and head in one straight line as you lower toward the floor. ; 5. Stop when you feel a deep stretch in the standing leg's hamstring, with the torso roughly parallel to the floor. ; 6. Drive the standing-leg hip forward to return to the start position, squeezing the glute at the top.","Rounding the lower back as the torso lowers, which puts the spine at risk under load.; Twisting the hips open as the back leg lifts, which loses the hinge alignment and balance.; Bending too much at the standing knee so the lift becomes a single-leg squat instead of a hinge.; Bouncing back up at the bottom instead of controlling the descent and the reversal.",A bodyweight single-leg hinge that loads the glutes and hamstrings while training balance — the single-leg answer to the RDL.,"The single-leg Romanian deadlift is the single-leg version of one of the most-used hinges in strength training. Standing on one leg, the lifter hinges at the hip and lowers the torso while the back leg extends behind for balance, loading the glutes and hamstrings of the standing leg through a long, controlled stretch. It also exposes side-to-side balance differences that bilateral lifts hide.

For app and content use, this clip is a strong fit for athletic-prep programs, glute-focused hypertrophy tracks, and rehab-adjacent content where unilateral hinge work is part of return-to-training. It's a smart pairing with bilateral RDL and hip-thrust content in any complete rear-chain library.

",posters/single-legged-romanian-deadlifts.webp,single-legged-romanian-deadlifts.mp4
sissy-squat,,Sissy Squat,Quadriceps,Core; Calves,Bench,Squat,intermediate,9.87,sissy squat; quadriceps; bodyweight; knee extension; legs; squat,"Loads the quadriceps hard without a barbell or a machine.; Trains knee flexion and extension through a long range with the hips held extended.; Scales by depth alone, so progression needs no extra load.",Advanced bodyweight leg days in a home training app.; Quadriceps accessory work in a hypertrophy program.; Knee-over-toe and tendon conditioning content.; Bodyweight pack merchandising alongside squats and lunges.,"1. Stand with your feet about shoulder width apart and hold a support with one hand. ; 2. Rise onto the balls of your feet, or place your heels on a two to four inch block. ; 3. Brace your trunk and squeeze your glutes so the hips stay extended. ; 4. Lean back from the knees, letting them travel forward while your torso stays in line with your thighs. ; 5. Descend as far as you can control, keeping the hips from folding backward. ; 6. Press through the balls of your feet to return to standing, then repeat.","Letting the hips fold backward, which turns the rep into a shallow ordinary squat.; Arching the lower back to reach depth, which loads the lumbar spine instead of the quadriceps.; Dropping fast and bouncing at the bottom, which spikes load on the knee with no control.; Pulling hard on the support hand, which removes the resistance the exercise depends on.",A knee-dominant squat where the hips stay extended and the knees travel forward over the toes.,"The sissy squat removes the hip hinge from a squat. You rise onto the balls of the feet, keep a straight line from head to knees, and lean back as the knees travel forward, so almost all of the movement happens at the knee joint. That makes the quadriceps the prime mover, with the trunk and calves working to hold the line and the balance. EMG work on knee extension across hip angles shows the four quadriceps heads work together rather than in isolation, so treat this as a quadriceps emphasis exercise rather than a way to single out one head.

For a library this clip fills the bodyweight quadriceps slot that squats and lunges do not cover, and it is a useful visual for knee-over-toe programming and for advanced bodyweight plans that need progression without added load.",posters/sissy-squat.webp,sissy-squat.mp4
ski-erg,,Ski Erg,Back; Core; Triceps,Shoulders; Chest; Quadriceps; Glutes,Machine,Cardio,intermediate,9.87,ski erg; double poling; cardio machine; upper body; conditioning; erg,"One of very few cardio machines driven mainly by the upper body and trunk rather than the legs.; Trains the same proximal to distal chain used in double poling, from trunk flexion to elbow extension.; Non-impact and upright, so it loads the posterior chain without any landing forces.",Machine-collection listings that need an upper-body cardio option.; Hybrid conditioning circuits pairing ski erg with rowing and cycling clips.; Technique tutorials contrasting a hip hinge with a squat on the erg.; Upper-body endurance blocks for athletes who cannot load the legs.,"1. Stand about eighteen to twenty-four inches from the flywheel with your feet shoulder-width apart. ; 2. Take a handle in each hand and raise them slightly above eye level with the elbows bent to about ninety degrees. ; 3. Brace the core and start the drive by dropping the head, chest and shoulders so the arms follow. ; 4. Push the hips back into a hinge and drive both handles down alongside your thighs. ; 5. Finish with the knees bent and the arms extended by the hips, thumbs pointing toward the thighs. ; 6. Stand back up and lift the arms into the next stroke, taking about twice as long as the drive.","Squatting instead of hinging, which takes the trunk out of the drive and leaves the arms to do the work.; Pulling with the arms from the top, which starts the stroke with the weakest link in the chain.; Bending the wrists or fully locking the arms at the finish, which stresses the joints with no added power.; Rushing the recovery back to the top, which shortens the next stroke and drops power output.","Standing double-pole pulls on a ski ergometer, hinging at the hips to drive both handles down past the thighs.","The ski erg reproduces the double-pole action of cross-country skiing. You start tall with the handles above eye level and elbows bent, then initiate by engaging the core and dropping the head, chest and shoulders so the arms follow rather than lead. The drive is a hip hinge and not a squat, and the core and lats generate the power.

Double poling runs a proximal to distal chain: trunk flexion first, then shoulder extension via latissimus dorsi and pectoralis major, then elbow extension via triceps, with rectus femoris and gluteus maximus contributing more as speed rises.

For a catalog the ski erg fills a real gap: it is one of very few cardio machines that is upper-body led, so it belongs in machine collections and hybrid conditioning programs.",posters/ski-erg.webp,ski-erg.mp4
